PWNETWPG,PAGEMIEG,PATTCRU,PATTSITC,PATTSKP,PEDUCMIE,PEFATINC,PFMTYPG,PFTENUR,PLFFPTME,PNBEARG,PPVRES,PWAPRVAL,PWASTDEP,PWATFS,PWDPRMOR,PWDSLOAN,PWDSTCRD,PWDSTLOC,DTI,Liquidity,Behavior Score,FSI
139400.0,6,4,3,2,1,23000,1,1,6,0,13,44000,50000,0,0,0,0,0,0.0,2.1739130434782608,0,0.8695652173913043
322525.0,3,6,3,1,3,121950,3,2,1,2,10,500000,700,0,350000,0,525,0,2.8743337433374334,0.005740057400574006,1,1.7268962689626897
586000.0,2,3,1,1,4,47550,1,3,1,1,24,0,0,0,0,0,10500,19000,0.6203995793901157,0.0,1,0.3722397476340694
500000.0,4,6,3,2,3,24000,3,3,3,0,48,0,0,0,0,0,0,0,0.0,0.0,0,0.0
1812405.0,4,4,3,2,4,74000,2,1,2,1,47,380000,5,8000,0,0,4100,7500,0.15675675675675677,0.10817567567567568,0,0.13732432432432434
1589500.0,6,4,3,2,3,60575,1,1,3,0,47,410000,300000,82500,0,0,0,0,0.0,6.3144861741642595,0,2.525794469665704
495500.0,6,6,3,2,1,90350,2,1,3,1,24,260000,11500,41000,0,0,0,0,0.0,0.5810736026563365,0,0.2324294410625346
1568500.0,6,4,3,2,4,83725,1,1,3,0,35,320000,21000,110000,0,0,0,75000,0.8957897879964168,1.5646461630337414,0,1.1633323380113467
259500.0,7,4,3,2,1,28075,1,1,3,0,48,175000,20000,0,0,0,0,0,0.0,0.7123775601068566,0,0.28495102404274264
2228300.0,5,4,3,2,4,113875,2,2,3,1,24,600000,550,55000,160000,0,6250,25000,1.6794731064763995,0.48781558726673985,0,1.2028100987925356
539000.0,5,3,3,2,1,46150,2,2,2,2,35,600000,3900,14500,150000,0,1000,0,3.2719393282773566,0.39869989165763814,0,2.122643553629469
837350.0,6,4,3,2,2,35250,1,1,3,0,24,150000,600000,425,0,0,0,0,0.0,17.033333333333335,0,6.813333333333334
301450.0,6,2,2,2,3,66450,2,2,1,2,46,460000,1050,0,270000,0,100,0,4.064710308502634,0.01580135440180587,0,2.4451467268623026
1466505.0,5,4,1,2,3,198900,2,2,1,2,35,875000,9500,22000,240000,0,0,0,1.2066365007541477,0.1583710407239819,0,0.7873303167420814
2143000.0,6,4,3,2,4,110125,2,1,3,0,35,700000,67500,13500,0,0,0,0,0.0,0.735527809307605,0,0.294211123723042
2203000.0,6,2,3,2,4,224450,4,1,2,2,35,700000,8000,0,0,0,0,0,0.0,0.035642682111828916,0,0.014257072844731567
994050.0,6,4,3,2,2,34600,1,1,3,0,48,340000,290000,100000,0,0,0,0,0.0,11.271676300578035,0,4.508670520231214
10550.0,5,3,2,2,3,16600,1,3,2,1,11,0,2100,0,0,0,600,0,0.03614457831325301,0.12650602409638553,0,0.07228915662650602
401750.0,6,3,3,2,3,37250,2,2,3,0,47,130000,7000,13000,62500,0,500,0,1.691275167785235,0.5369127516778524,0,1.229530201342282
1358250.0,5,3,3,2,2,27400,4,2,3,0,24,700000,27000,0,100000,0,1750,0,3.7135036496350367,0.9854014598540146,0,2.622262773722628
1463500.0,6,4,2,2,3,67300,2,1,3,0,59,475000,4000,0,0,0,0,15000,0.22288261515601784,0.05943536404160475,0,0.1575037147102526
1251750.0,7,4,3,2,4,39125,1,1,3,0,59,950000,100000,41000,0,0,0,0,0.0,3.6038338658146967,0,1.4415335463258787
1567500.0,5,4,3,2,4,109300,2,2,3,0,24,460000,2000,150000,230000,0,0,0,2.104300091491308,1.3906678865507778,0,1.8188472095150958
176175.0,5,4,2,2,3,22450,1,3,2,1,12,0,950,2100,0,0,375,500,0.03897550111358575,0.1358574610244989,0,0.07772828507795101
1358000.0,3,4,3,2,3,157200,3,1,1,2,13,350000,250000,110000,0,0,0,0,0.0,2.2900763358778624,0,0.916030534351145
59575.0,2,4,3,2,2,96350,4,3,1,1,59,0,10500,250,0,0,0,0,0.0,0.11157239231966788,0,0.044628956927867156
794300.0,7,4,3,2,2,57500,2,1,3,0,46,390000,115000,72500,0,0,20000,0,0.34782608695652173,3.260869565217391,0,1.5130434782608695
727500.0,6,4,3,2,4,54050,1,3,3,0,59,0,38000,8000,0,0,82500,5250,1.6234967622571692,0.851063829787234,0,1.314523589269195
884800.0,6,4,3,2,2,96450,4,2,1,1,35,925000,6250,0,62500,0,0,0,0.6480041472265422,0.06480041472265423,0,0.414722654224987
1690500.0,6,4,3,2,4,86750,2,2,1,9,46,825000,40000,0,220000,0,0,0,2.5360230547550433,0.4610951008645533,0,1.7060518731988474
3000.0,6,6,2,2,2,32850,2,3,3,0,59,0,0,0,0,0,0,0,0.0,0.0,0,0.0
3647000.0,6,4,3,2,4,143875,2,1,3,0,35,460000,105000,190000,0,0,0,0,0.0,2.050390964378801,0,0.8201563857515204
294000.0,6,4,2,2,2,22075,1,1,3,0,13,75000,2000,0,0,0,0,0,0.0,0.09060022650056625,0,0.0362400906002265
1051800.0,6,5,2,2,1,45125,1,1,3,0,59,500000,43000,10500,0,0,0,0,0.0,1.185595567867036,0,0.4742382271468144
-28000.0,6,3,1,2,2,29925,1,3,3,0,47,0,2000,0,0,0,31000,0,1.035923141186299,0.06683375104427736,0,0.6482873851294904
887100.0,5,3,1,2,4,128975,2,2,1,2,47,280000,10000,0,190000,0,5750,17500,1.6534212056600117,0.07753440589261484,0,1.023066485753053
875100.0,6,4,3,2,4,118125,2,1,2,1,10,210000,87500,40000,0,0,0,0,0.0,1.0793650793650793,0,0.43174603174603177
2875450.0,4,4,1,2,4,99350,3,1,1,1,35,1250000,10500,10000,0,0,0,0,0.0,0.20634121791645696,0,0.0825364871665828
73425.0,6,3,2,2,4,51700,2,3,3,1,35,0,425,0,0,0,12000,0,0.23210831721470018,0.008220502901353965,0,0.1425531914893617
825875.0,3,4,1,2,2,148000,3,2,1,2,35,1550000,6250,0,925000,0,0,280000,8.141891891891891,0.04222972972972973,0,4.902027027027026
2080500.0,6,4,2,2,4,99900,2,1,3,0,11,400000,135000,210000,0,0,2000,0,0.02002002002002002,3.4534534534534536,0,1.3933933933933935
538500.0,2,4,1,2,4,364025,9,2,1,2,46,400000,15000,105000,270000,0,0,0,0.74170730032278,0.3296476890323467,0,0.5768834558066067
400200.0,4,4,3,2,4,73650,4,3,1,2,59,0,5000,0,0,0,0,0,0.0,0.06788866259334692,0,0.027155465037338768
2509000.0,7,3,3,2,2,27700,1,1,3,0,59,2100000,270000,18000,0,0,1000,0,0.036101083032490974,10.397111913357401,0,4.180505415162456
136000.0,3,3,3,2,4,51750,9,2,1,9,46,380000,5000,0,250000,0,0,0,4.830917874396135,0.0966183574879227,0,2.9371980676328504
226550.0,4,4,3,2,4,118375,3,2,1,3,46,200000,1050,0,52500,0,0,0,0.44350580781414994,0.008870116156283,0,0.26965153115100315
1824050.0,4,4,2,2,4,134900,3,2,2,2,59,1950000,21000,9500,330000,0,0,0,2.446256486286138,0.22609340252038548,0,1.558191252779837
268000.0,4,6,1,2,4,55600,1,3,1,1,24,0,200000,0,0,0,0,0,0.0,3.597122302158273,0,1.4388489208633093
3052005.0,7,2,3,2,1,48825,9,2,3,0,59,1025000,15000,0,175000,0,30000,0,4.198668714797747,0.30721966205837176,0,2.6420890937019967
-1650.0,3,3,2,1,2,24175,1,3,1,1,12,0,175,125,0,0,4000,0,0.1654601861427094,0.012409513960703205,1,0.10423991726990692
2926500.0,6,4,3,2,3,53525,2,1,3,0,59,2100000,230000,180000,0,0,0,0,0.0,7.659971975712284,0,3.0639887902849137
2629575.0,3,4,2,2,3,145775,3,2,1,3,48,975000,8750,225,470000,0,1900,0,3.2371805865203225,0.061567484136511745,0,1.966935345566798
2497000.0,5,4,3,2,4,181175,2,1,1,1,24,350000,70000,95000,0,0,0,27000,0.14902718366220505,0.9107216779356976,0,0.4537049813716021
1251600.0,5,3,2,2,4,56875,1,3,2,1,35,0,1500,0,0,0,3900,0,0.06857142857142857,0.026373626373626374,0,0.05169230769230769
2146000.0,6,4,3,2,3,37425,1,1,3,0,59,1050000,5000,92500,0,0,0,0,0.0,2.6052104208416833,0,1.0420841683366733
511900.0,3,4,3,2,4,128150,2,2,1,2,59,700000,3900,19000,430000,0,0,0,3.3554428404213814,0.17869683964104566,0,2.084744440109247
32000.0,6,6,3,2,3,82100,9,3,1,1,11,0,2000,0,0,0,0,0,0.0,0.024360535931790498,0,0.0097442143727162
9525.0,2,3,1,1,2,37550,1,3,1,1,59,0,1550,0,0,0,1350,0,0.03595206391478029,0.041278295605858856,1,0.038082556591211715
700505.0,6,4,3,2,4,6000,1,1,1,0,24,310000,6500,0,0,0,0,0,0.0,1.0833333333333333,0,0.43333333333333335
1867000.0,7,4,3,2,2,93050,1,1,3,0,35,390000,110000,38000,0,0,0,0,0.0,1.5905427189682966,0,0.6362170875873187
50600.0,4,4,3,2,4,20625,1,3,1,1,24,0,4100,2000,0,0,0,10500,0.509090909090909,0.2957575757575758,0,0.4237575757575757
2416000.0,6,4,3,2,2,54550,1,1,3,0,47,250000,110000,150000,0,0,0,0,0.0,4.766269477543538,0,1.9065077910174155
1319000.0,6,4,2,2,4,98575,2,1,2,1,13,180000,24000,100000,0,0,0,0,0.0,1.257925437484149,0,0.5031701749936597
